ATF/LE Confiscation/Raid/Arrest,Accidental Shooting,Accidental Shooting - Death,Accidental Shooting - Injury,Accidental Shooting at a Business,Accidental/Negligent Discharge,Address,Armed robbery with injury/death and/or evidence of DGU found,BB/pellet gun,Bar/club incident - in or around establishment,Brandishing/flourishing/open carry/lost/found,Car-jacking,Child Involved Incident,Child injured (not child shooter),Child with gun - no shots fired,City or County,Concealed Carry License - Perpetrator,Concealed Carry License - Victim,Congressional District,Criminal act with stolen gun,Defensive Use,"Defensive Use - Crime occurs, victim shoots perpetrator","Defensive Use - Shots fired, no injury/death",Defensive Use - Stand Your Ground/Castle Doctrine established,Defensive Use - Victim stops crime,Defensive Use - WITHOUT a gun,Domestic Violence,"Drive-by (car to street, car to car)",Drug involvement,Gang involvement,"Gun at school, no death/injury - elementary/secondary school",Gun range/gun shop/gun show shooting,Gun(s) stolen from owner,Home Invasion,Home Invasion - No death or injury,Home Invasion - Resident injured,ID,"IDIOCY, NOT AGGRESSION",Incident Date,Institution/Group/Business,Kidnapping/abductions/hostage,LOCKDOWN/ALERT ONLY:  No GV Incident Occurred Onsite,Latitude,Location Description,Longitude,"Mistaken ID  (thought it was an intruder/threat, was friend/family)",Non-Shooting Incident,Notes,Number Injured,Number Killed,Officer Involved Incident,Officer Involved Incident - Weapon involved but no shots fired,Officer Involved Shooting - Officer shot,Officer Involved Shooting - Perpetrator killed,Officer Involved Shooting - Perpetrator shot,Officer Involved Shooting - Perpetrator suicide at standoff,Officer Involved Shooting - Perpetrator surrender at standoff,"Officer Involved Shooting - Shots fired, no injury",Pistol-whipping,Playing with gun,Possession (gun(s) found during commission of other crimes),Possession of gun by felon or prohibited person,School Incident,School Shooting - elementary/secondary school,School Shooting - university/college,Self-Inflicted (not suicide or suicide attempt - NO PERP),"Shot - Dead (murder, accidental, suicide)",Shot - Wounded/Injured,Shots Fired - No Injuries,"Shots fired, no action (reported, no evidence found)",State,State House District,State Senate District,Stolen/Illegally owned gun{s} recovered during arrest/warrant,Suicide,Suicide - Attempt,Under the influence of alcohol or drugs (only applies to the perpetrator)
False,False,False,False,False,False,N/A,False,False,False,False,False,False,False,False,Lithonia,False,False,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,31,False,"January 13, 2016",False,False,True,33.6802,"; Lithonia, Georgia",-84.1531,False,False,"Dekalb Co, man shot in leg, Indian Creek Elementary and Clarkston High on lockdown, unrelated to stabbing SWAT",1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Georgia,90,43,False,False,False,False
False,False,False,False,False,False,2800 block of Eastwood Drive,False,False,False,False,False,False,False,False,Decatur,False,False,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,32,False,"January 13, 2016",False,False,False,33.7408,"2800 block of Eastwood Drive; Decatur, Georgia",-84.2756,False,False,"Dekalb Co, near Welika",0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Georgia,84,42,False,False,False,False
False,False,False,False,False,False,Comet and Corvair Avenue,False,False,False,False,False,False,False,False,Savannah,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33,False,"January 13, 2016",False,False,False,32.0588,"Comet and Corvair Avenue; Savannah, Georgia",-81.1368,False,False,"shots fired into home, no inj",0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Georgia,163,2,False,False,False,False
False,False,False,False,False,False,Herndon Road and Nadine Avenue,False,False,False,False,False,False,False,False,Ceres,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,34,False,"January 13, 2016",False,False,False,N/A,"Summary Market; Herndon Road and Nadine Avenue; Ceres, California",N/A,False,False,,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,California,,,False,False,False,False
False,True,False,True,False,True,Harpst and Rossow Streets,False,False,False,False,False,False,False,False,Humboldt (county),False,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,35,False,"January 13, 2016",False,False,False,40.8742,"Harpst and Rossow Streets; Humboldt (county), California",-124.08,False,False,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,California,2,2,False,False,False,False
False,False,False,False,False,False,10592 Sunset Avenue,False,False,False,False,False,False,False,False,Desert Hot Springs,False,False,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,36,False,"January 13, 2016",False,False,False,33.9715,"10592 Sunset Avenue; Desert Hot Springs, California",-116.498,False,True,,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,California,56,28,False,False,False,False
True,False,False,False,False,False,2800 block of Silverhill Avenue,False,False,False,False,False,False,False,False,Baltimore,False,False,7,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,37,False,"January 13, 2016",False,False,False,39.3262,"2800 block of Silverhill Avenue; Baltimore, Maryland",-76.7101,False,True,,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Maryland,41,41,False,False,False,False
True,False,False,False,False,False,3900 block of Hillsdale Avenue,False,False,False,False,False,False,False,False,Baltimore,False,False,7,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,38,False,"January 13, 2016",False,False,False,39.3358,"3900 block of Hillsdale Avenue; Baltimore, Maryland",-76.692,False,True,,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Maryland,41,41,False,False,False,False
False,False,False,False,False,False,5200 block of Cordelia Avenue,False,False,False,False,False,False,False,False,Baltimore,False,False,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,39,False,"January 13, 2016",False,False,False,39.3468,"5200 block of Cordelia Avenue; Baltimore, Maryland",-76.6828,False,True,,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Maryland,41,41,False,False,False,False
False,False,False,False,False,False,1200 block of N. Locust St,False,False,False,False,False,False,False,False,Wilmington,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,False,"January 13, 2016",False,False,False,39.7445,"1200 block of N. Locust St; Wilmington, Delaware",-75.5373,False,False,,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Delaware,2,2,False,False,False,False
